match  newtuple (0, 5655, 3, 14) 
match  newtuple (0, 5655, 3, 14) 
match  newtuple (0, 5655, 3, 14) 
match  newtuple (0, 5089, 18, 8) 
match  newtuple (0, 5089, 18, 8) 
match  newtuple (0, 5089, 18, 8) 
match  newtuple (0, 5089, 18, 8) 
match  newtuple (0, 5089, 18, 8) 
match  newtuple (0, 5089, 18, 8) 
match  newtuple (0, 5089, 18, 8) 
match  newtuple (0, 5089, 18, 8) 
match  newtuple (0, 9842, 3, 2) 
match  newtuple (0, 9842, 3, 2) 
match  newtuple (0, 9842, 3, 2) 
match  newtuple (0, 9842, 3, 2) 
match  newtuple (0, 9842, 3, 2) 
match  newtuple (0, 9842, 3, 2) 
match  newtuple (0, 1938, 14, 1) 
match  newtuple (0, 1938, 14, 1) 
match  newtuple (0, 1938, 14, 1) 
match  newtuple (0, 1938, 14, 1) 
match  newtuple (0, 1938, 14, 1) 
match  newtuple (0, 1938, 14, 1) 
match  newtuple (0, 1938, 14, 1) 
match  newtuple (0, 18391, 9, 20) 
match  newtuple (0, 18391, 9, 20) 
match  newtuple (0, 18391, 9, 20) 
match  newtuple (0, 18391, 9, 20) 
match  newtuple (0, 18391, 9, 20) 
match  newtuple (0, 18391, 9, 20) 
match  newtuple (0, 18391, 9, 20) 
match  newtuple (0, 18391, 9, 20) 
match  newtuple (0, 8743, 2, 19) 
match  newtuple (0, 8743, 2, 19) 
match  newtuple (0, 8743, 2, 19) 
match  newtuple (0, 8743, 2, 19) 
match  newtuple (0, 8743, 2, 19) 
match  newtuple (0, 12667, 21, 6) 
match  newtuple (0, 12667, 21, 6) 
match  newtuple (0, 12667, 21, 6) 
match  newtuple (0, 12667, 21, 6) 
match  newtuple (0, 12667, 21, 6) 
match  newtuple (0, 12667, 21, 6) 
match  newtuple (0, 12667, 21, 6) 
match  newtuple (0, 7095, 6, 10) 
match  newtuple (0, 7095, 6, 10) 
match  newtuple (0, 7095, 6, 10) 
match  newtuple (0, 7095, 6, 10) 
match  newtuple (0, 7095, 6, 10) 
match  newtuple (0, 7095, 6, 10) 
match  newtuple (0, 14385, 7, 14) 
match  newtuple (0, 14385, 7, 14) 
match  newtuple (0, 14385, 7, 14) 
match  newtuple (0, 14385, 7, 14) 
match  newtuple (0, 14385, 7, 14) 
match  newtuple (0, 14385, 7, 14) 
match  newtuple (0, 14385, 7, 14) 
match  newtuple (0, 17495, 3, 19) 
match  newtuple (0, 17495, 3, 19) 
match  newtuple (0, 17495, 3, 19) 
match  newtuple (0, 17495, 3, 19) 
match  newtuple (0, 17495, 3, 19) 
match  newtuple (0, 17495, 3, 19) 
match  newtuple (0, 17495, 3, 19) 
match  newtuple (0, 17495, 3, 19) 
match  newtuple (0, 20150, 2, 6) 
match  newtuple (0, 20150, 2, 6) 
match  newtuple (0, 10290, 2, 9) 
match  newtuple (0, 10290, 2, 9) 
match  newtuple (0, 10290, 2, 9) 
match  newtuple (0, 10290, 2, 9) 
match  newtuple (0, 10290, 2, 9) 
match  newtuple (0, 10290, 2, 9) 
match  newtuple (0, 10290, 2, 9) 
match  newtuple (0, 10290, 2, 9) 
match  newtuple (0, 1856, 12, 6) 
match  newtuple (0, 1856, 12, 6) 
