freq, W
102000,1.592938751266678
204000,1.6983307262651917
307200,1.7994290916131195
403200,2.41928104867656
518400,2.53377182154027
614400,2.6803584397892575
710400,2.7530311937942065
825600,2.8776676581096114
921600,2.9574579700258186
1036800,3.1053653701643538
1132800,3.1533897781202502
1224000,3.2810096288633672
1326000,3.5027817523062157
1428000,3.6724467685397038
